"Year","Plot","SpeciesID","Onset","Peak","End","Duration","Onset_Temp","Peak_Temp","End_Temp","Snowmelt"
1996,"Art1","Acari",185,200,218,33,-0.214583333333333,1.86680555555556,5.78416666666667,170
1996,"Art1","Agromyzidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","ANMU",183,197,217,34,-0.252638888888889,1.9525,5.75513888888889,170
1996,"Art1","Aphidoidea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Apidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Aranea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Braconidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Calliphoridae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Cecidomyiidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Ceraphronidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Ceraphronoidea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Chalcidoidea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","CHCE",171,183,196,25,-1.48875,0.0940277777777778,2.40013888888889,170
1996,"Art1","Coccinellidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Coccoidea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Coleoptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Collembola",181,196,216,35,-0.238888888888889,2.71652777777778,6.0625,170
1996,"Art1","Copepoda",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Culicidae",189,202,213,24,1.45930555555556,2.80319444444444,5.67361111111111,170
1996,"Art1","Cynipoidea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Dictynidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Diptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Empididae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Ephydridae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Faniidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Geometridae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Gracilariidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Heleomyzidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Hemiptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Ichneumonidae",NA,NA,NA,NA,1.90083333333333,2.9175,5.7325,170
1996,"Art1","Latridiidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Lycaenidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Lycosidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Lygaeidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Megaspilidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","MYSC",190,210,227,37,-0.615138888888889,1.63222222222222,2.80319444444444,170
1996,"Art1","Nematoda",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Noctuidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Notostraca",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Nymphalidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Ostracoda",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Phoridae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Pieridae ",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","PieridaeÂ ",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Piophilidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Platygastridae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Plutellidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Psocoptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Psylloidea",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Scathophagidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Scelionidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Syrphidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Tachinidae",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Tardigrada",NA,NA,NA,NA,NA,NA,NA,170
1996,"Art1","Tenthredinidae",NA,NA,NA,NA,NA,NA,NA,170
